Track Name,Artist Name,Release Year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_min,Popularity
American Slang,The Gaslight Anthem,2010.0,0.559,0.821,0.0,-3.046,1.0,0.0325,0.000241,0.00438,0.144,0.743,131.948,3.68755,46
American Spirit,Tom McRae,2010.0,0.279,0.225,1.0,-8.725,1.0,0.0322,0.796,0.0,0.108,0.0923,85.896,5.485783333333333,6
Amorosa,Pitbull,2010.0,0.815,0.561,2.0,-8.471,1.0,0.0559,0.00691,0.0,0.0911,0.781,130.005,3.54355,15
Amsterdam,Nothing But Thieves,2017.0,0.511,0.934,3.0,-4.561,1.0,0.242,0.00403,3.48e-05,0.242,0.668,168.062,4.537333333333334,69
An Anthem For The Young At Heart,Amber Pacific,2010.0,0.555,0.968,8.0,-1.961,1.0,0.0651,2.18e-05,0.0067,0.225,0.928,102.49,2.364,19
Anchor,Alejandro Escovedo,2010.0,0.517,0.833,0.0,-5.83,1.0,0.031,0.000504,8.84e-05,0.213,0.615,123.469,3.5073333333333334,29
Andalucía,Doves,2010.0,0.331,0.927,8.0,-6.014,0.0,0.0518,0.0146,9.93e-05,0.327,0.679,159.963,4.354883333333333,24
Andromeda,Gorillaz,2017.0,0.788,0.472,0.0,-9.021,1.0,0.0475,0.003,0.0322,0.59,0.257,130.084,3.29245,65
Angel,Halle,2023.0,0.511,0.446,5.0,-7.299,0.0,0.0293,0.249,0.0,0.248,0.216,69.505,3.652233333333333,64
Angel Dance,Robert Plant,2010.0,0.498,0.77,5.0,-6.754,1.0,0.0348,0.11,0.0931,0.223,0.418,166.876,3.8191166666666665,28
Angels Cry,Mariah Carey,2009.0,0.605,0.549,0.0,-6.707,1.0,0.0441,0.125,0.0,0.169,0.295,76.994,4.031116666666667,40
Animal,Aurora,2019.0,0.624,0.593,3.0,-6.253,0.0,0.058,0.0757,9.82e-06,0.223,0.238,127.988,3.5900166666666666,49
Annabel Lee,Stevie Nicks,2011.0,0.573,0.837,5.0,-5.292,1.0,0.0338,0.0106,0.0148,0.066,0.536,112.508,5.975333333333333,27
Another Bad Day,Vince Neil,2010.0,0.43,0.852,0.0,-3.89,1.0,0.0327,0.00294,0.0,0.191,0.47,97.02,4.11845,19
Another New World,Josh Ritter,2010.0,0.335,0.4,11.0,-8.504,0.0,0.0322,0.575,0.000893,0.115,0.178,131.037,7.582216666666667,22
Another Night Out,UNKLE,2010.0,0.182,0.377,6.0,-9.138,1.0,0.0338,0.616,0.684,0.228,0.0364,134.364,5.205783333333334,9
Another Way to Die,Disturbed,2010.0,0.621,0.967,6.0,-2.35,1.0,0.0692,8.46e-05,0.00612,0.12,0.315,112.017,4.223116666666667,54
Any Girl,Lloyd Banks,2010.0,0.68,0.664,7.0,-6.813,0.0,0.091,0.0588,0.0,0.264,0.388,98.111,3.52445,30
Any Which Way,Scissor Sisters,2010.0,0.74,0.726,5.0,-5.574,0.0,0.0744,0.0137,0.087,0.0604,0.704,121.998,4.684216666666667,41
Anyone But Him,Mr. Hudson,2009.0,0.832,0.677,9.0,-4.546,0.0,0.103,0.0114,1.2e-05,0.19,0.83,148.028,3.1366666666666667,20
Anything but the Truth,Jack Johnson,2010.0,0.651,0.111,6.0,-21.289,0.0,0.0383,0.945,0.0257,0.119,0.462,129.053,2.8962166666666667,38
Apartment Wrestling,Maximum Balloon,2010.0,0.794,0.85,7.0,-3.309,1.0,0.0306,0.00184,0.000347,0.0873,0.797,113.999,3.6553333333333335,8
Aphrodite,Kylie Minogue,2010.0,0.676,0.951,9.0,-5.223,0.0,0.0709,0.034,0.00466,0.0708,0.421,113.021,3.7597833333333335,37
April's Love,Court Yard Hounds,2010.0,0.411,0.252,2.0,-11.141,1.0,0.0322,0.322,0.0,0.109,0.188,96.088,3.394,6
