danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.596,0.88,5,-3.823,1,0.0531,0.00672,0.0118,0.0723,0.45,99.996,audio_features,2sK1yHjziJZkUCwCh1GkvD,spotify:track:2sK1yHjziJZkUCwCh1GkvD,https://api.spotify.com/v1/tracks/2sK1yHjziJZkUCwCh1GkvD,https://api.spotify.com/v1/audio-analysis/2sK1yHjziJZkUCwCh1GkvD,232213,4
0.667,0.619,2,-4.933,1,0.151,0.126,0.0,0.101,0.427,169.865,audio_features,6RjW45KHJ6kgI2xQ1aFa52,spotify:track:6RjW45KHJ6kgI2xQ1aFa52,https://api.spotify.com/v1/tracks/6RjW45KHJ6kgI2xQ1aFa52,https://api.spotify.com/v1/audio-analysis/6RjW45KHJ6kgI2xQ1aFa52,198907,4
0.461,0.695,6,-4.027,1,0.0272,0.0488,0.000573,0.113,0.194,104.185,audio_features,5jWPZIt3Ix7sT7jmmkPjkX,spotify:track:5jWPZIt3Ix7sT7jmmkPjkX,https://api.spotify.com/v1/tracks/5jWPZIt3Ix7sT7jmmkPjkX,https://api.spotify.com/v1/audio-analysis/5jWPZIt3Ix7sT7jmmkPjkX,218493,4
0.417,0.964,9,-5.251,0,0.0408,0.000632,0.663,0.0921,0.232,133.971,audio_features,269Zd0PGU6TZ0DR0HNltTE,spotify:track:269Zd0PGU6TZ0DR0HNltTE,https://api.spotify.com/v1/tracks/269Zd0PGU6TZ0DR0HNltTE,https://api.spotify.com/v1/audio-analysis/269Zd0PGU6TZ0DR0HNltTE,531307,4
0.974,0.698,11,-4.232,1,0.118,0.183,0.00103,0.217,0.679,119.726,audio_features,3mhT9bRzLCchW4fRrgBky1,spotify:track:3mhT9bRzLCchW4fRrgBky1,https://api.spotify.com/v1/tracks/3mhT9bRzLCchW4fRrgBky1,https://api.spotify.com/v1/audio-analysis/3mhT9bRzLCchW4fRrgBky1,193573,4
0.515,0.952,2,-3.833,0,0.0561,0.000193,0.0,0.102,0.491,131.088,audio_features,4wWQfo5vHRiwDsAVVEPPVn,spotify:track:4wWQfo5vHRiwDsAVVEPPVn,https://api.spotify.com/v1/tracks/4wWQfo5vHRiwDsAVVEPPVn,https://api.spotify.com/v1/audio-analysis/4wWQfo5vHRiwDsAVVEPPVn,160827,4
0.479,0.493,0,-11.761,0,0.0271,0.558,0.0293,0.118,0.401,130.801,audio_features,2HH2AFIT2VBwEs9NMFK1aH,spotify:track:2HH2AFIT2VBwEs9NMFK1aH,https://api.spotify.com/v1/tracks/2HH2AFIT2VBwEs9NMFK1aH,https://api.spotify.com/v1/audio-analysis/2HH2AFIT2VBwEs9NMFK1aH,175080,4
0.843,0.972,6,-6.58,0,0.144,0.00326,0.301,0.0324,0.496,124.989,audio_features,7kE1g5T0Mmc84izq9DirqZ,spotify:track:7kE1g5T0Mmc84izq9DirqZ,https://api.spotify.com/v1/tracks/7kE1g5T0Mmc84izq9DirqZ,https://api.spotify.com/v1/audio-analysis/7kE1g5T0Mmc84izq9DirqZ,284539,4
0.453,0.507,2,-10.098,1,0.0519,0.241,0.0107,0.16,0.153,134.023,audio_features,778x5bolqJeICcrtSBNrko,spotify:track:778x5bolqJeICcrtSBNrko,https://api.spotify.com/v1/tracks/778x5bolqJeICcrtSBNrko,https://api.spotify.com/v1/audio-analysis/778x5bolqJeICcrtSBNrko,204175,4
0.527,0.779,9,-7.638,0,0.0508,0.504,0.803,0.0996,0.239,126.026,audio_features,3PDnTRxUNjxzF1OTd0amO8,spotify:track:3PDnTRxUNjxzF1OTd0amO8,https://api.spotify.com/v1/tracks/3PDnTRxUNjxzF1OTd0amO8,https://api.spotify.com/v1/audio-analysis/3PDnTRxUNjxzF1OTd0amO8,259093,4
0.684,0.636,0,-8.34,1,0.0376,0.36,1.43e-06,0.105,0.323,129.984,audio_features,0e6wX1fUW5WLaAb6875KO3,spotify:track:0e6wX1fUW5WLaAb6875KO3,https://api.spotify.com/v1/tracks/0e6wX1fUW5WLaAb6875KO3,https://api.spotify.com/v1/audio-analysis/0e6wX1fUW5WLaAb6875KO3,230693,4
0.673,0.61,1,-4.73,0,0.0356,0.00662,0.0,0.0572,0.343,122.063,audio_features,6PFyGdWw0qnstR8KJAWrrr,spotify:track:6PFyGdWw0qnstR8KJAWrrr,https://api.spotify.com/v1/tracks/6PFyGdWw0qnstR8KJAWrrr,https://api.spotify.com/v1/audio-analysis/6PFyGdWw0qnstR8KJAWrrr,209200,4
0.467,0.465,1,-10.592,1,0.0334,0.757,1e-05,0.096,0.323,99.988,audio_features,5EP2pGo97siLzMjlJnKmNK,spotify:track:5EP2pGo97siLzMjlJnKmNK,https://api.spotify.com/v1/tracks/5EP2pGo97siLzMjlJnKmNK,https://api.spotify.com/v1/audio-analysis/5EP2pGo97siLzMjlJnKmNK,481720,4
0.571,0.267,7,-9.832,0,0.028,0.738,0.0,0.186,0.352,81.594,audio_features,38WErIeVQbRoP0DUhndeIE,spotify:track:38WErIeVQbRoP0DUhndeIE,https://api.spotify.com/v1/tracks/38WErIeVQbRoP0DUhndeIE,https://api.spotify.com/v1/audio-analysis/38WErIeVQbRoP0DUhndeIE,138427,3
0.66,0.867,6,-4.285,0,0.116,0.11,0.0,0.0368,0.377,93.033,audio_features,6lV2MSQmRIkycDScNtrBXO,spotify:track:6lV2MSQmRIkycDScNtrBXO,https://api.spotify.com/v1/tracks/6lV2MSQmRIkycDScNtrBXO,https://api.spotify.com/v1/audio-analysis/6lV2MSQmRIkycDScNtrBXO,180480,4
0.618,0.737,1,-5.683,1,0.142,0.00506,1.56e-06,0.186,0.512,79.235,audio_features,5ZsjDfALqeCuvWRWQzMgPT,spotify:track:5ZsjDfALqeCuvWRWQzMgPT,https://api.spotify.com/v1/tracks/5ZsjDfALqeCuvWRWQzMgPT,https://api.spotify.com/v1/audio-analysis/5ZsjDfALqeCuvWRWQzMgPT,221520,4
0.537,0.821,2,-7.051,0,0.0368,0.233,0.752,0.106,0.329,120.01,audio_features,2kaCiPEB373iNRnbxSI44x,spotify:track:2kaCiPEB373iNRnbxSI44x,https://api.spotify.com/v1/tracks/2kaCiPEB373iNRnbxSI44x,https://api.spotify.com/v1/audio-analysis/2kaCiPEB373iNRnbxSI44x,323573,4
0.644,0.732,2,-5.473,1,0.0345,0.161,2.77e-06,0.248,0.515,124.914,audio_features,7o3MZscX1C91i53vY5SN8N,spotify:track:7o3MZscX1C91i53vY5SN8N,https://api.spotify.com/v1/tracks/7o3MZscX1C91i53vY5SN8N,https://api.spotify.com/v1/audio-analysis/7o3MZscX1C91i53vY5SN8N,177447,4
0.492,0.762,4,-5.565,1,0.0299,0.00401,0.000676,0.148,0.199,79.504,audio_features,7h6qJvYEuERyNN6cJxxCQV,spotify:track:7h6qJvYEuERyNN6cJxxCQV,https://api.spotify.com/v1/tracks/7h6qJvYEuERyNN6cJxxCQV,https://api.spotify.com/v1/audio-analysis/7h6qJvYEuERyNN6cJxxCQV,251120,4
0.723,0.88,11,-4.287,0,0.038,0.00334,0.0179,0.0632,0.323,123.036,audio_features,41A89rj3GoMG6ktN37L7PG,spotify:track:41A89rj3GoMG6ktN37L7PG,https://api.spotify.com/v1/tracks/41A89rj3GoMG6ktN37L7PG,https://api.spotify.com/v1/audio-analysis/41A89rj3GoMG6ktN37L7PG,177600,4
0.515,0.782,0,-5.958,1,0.0416,9.19e-05,0.0,0.0893,0.398,146.091,audio_features,78x8gB6FVSDB9q01E7rlI8,spotify:track:78x8gB6FVSDB9q01E7rlI8,https://api.spotify.com/v1/tracks/78x8gB6FVSDB9q01E7rlI8,https://api.spotify.com/v1/audio-analysis/78x8gB6FVSDB9q01E7rlI8,206411,4
0.637,0.804,2,-6.141,1,0.0448,0.207,0.0,0.115,0.732,129.261,audio_features,1Fx9aiORwv0cx5mFEBasHo,spotify:track:1Fx9aiORwv0cx5mFEBasHo,https://api.spotify.com/v1/tracks/1Fx9aiORwv0cx5mFEBasHo,https://api.spotify.com/v1/audio-analysis/1Fx9aiORwv0cx5mFEBasHo,186173,3
